City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Abbeville,2888,3,0,,0,2,1,22,3,16,3,0
Adairsville,4686,13,0,,0,1,12,52,15,31,6,0
Adel,5240,18,0,,5,5,8,189,64,121,4,0
Adrian,656,0,0,,0,0,0,2,0,2,0,0
Alapaha,646,5,0,,0,1,4,6,0,6,0,0
Albany,77365,749,8,,21,183,537,4661,1319,3169,173,19
Alma,3529,24,0,,2,8,14,208,45,158,5,
Alpharetta,63442,47,2,,2,23,20,1228,128,1074,26,2
Alto,1159,0,0,,0,0,0,28,16,10,2,
Americus,16190,231,0,,0,40,191,1246,605,613,28,1
Aragon,1233,3,0,,0,0,3,51,8,40,3,0
Arcade,1752,4,1,,0,0,3,35,4,29,2,
Arlington,1412,61,0,,0,3,58,124,52,71,1,
Ashburn,3814,40,2,,2,5,31,184,55,121,8,
Athens-Clarke County,120122,404,2,,37,125,240,4074,967,2912,195,18
Atlanta,451020,5517,84,,105,2363,2965,27528,5938,17158,4432,71
Attapulgus,441,0,0,,0,0,0,2,1,1,0,0
Austell,6820,40,0,,2,4,34,191,37,139,15,0
Bainbridge,12575,88,1,,1,7,79,568,128,430,10,
Baldwin,3289,3,0,,2,0,1,49,14,30,5,0
Ball Ground,1484,1,0,,0,0,1,12,4,8,0,0
Barnesville,6489,9,0,,0,2,7,327,41,275,11,
Baxley,4434,15,0,,0,2,13,289,84,201,4,0
Berlin,562,0,0,,0,0,0,0,0,0,0,0
Blackshear,3499,14,0,,3,3,8,150,27,118,5,0
Blairsville,549,0,0,,0,0,0,21,0,21,0,0
Blakely,4771,32,0,,0,4,28,205,57,143,5,0
Bloomingdale,2762,3,0,,1,0,2,62,18,39,5,
Blue Ridge,1262,3,0,,0,0,3,23,5,18,0,
Blythe,721,0,0,,0,0,0,14,5,8,1,0
Boston,1318,11,0,,1,1,9,48,11,36,1,0
Bowdon,2042,16,0,,0,0,16,73,13,58,2,0
Braselton,7973,13,0,,5,4,4,127,24,93,10,0
Braswell,382,0,0,,0,0,0,0,0,0,0,0
Bremen,6203,11,0,,2,1,8,173,21,145,7,0
Brooklet,1430,3,0,,0,0,3,11,5,6,0,0
Brunswick,15709,162,3,,4,38,117,1110,331,732,47,3
Buchanan,1162,5,0,,0,0,5,43,11,30,2,
Buena Vista,2188,8,0,,0,0,8,75,18,55,2,0
Butler,1899,5,0,,0,0,5,24,6,16,2,1
Byron,4772,8,0,,0,0,8,150,50,89,11,0
Cairo,9875,29,1,,8,7,13,222,43,172,7,1
Calhoun,15866,44,0,,7,7,30,784,104,662,18,0
Canton,24042,23,0,,1,11,11,406,59,326,21,
Carrollton,25164,124,1,,14,31,78,1090,147,895,48,3
Cartersville,19835,51,0,,3,8,40,927,164,718,45,
Cave Spring,1191,2,0,,0,0,2,18,3,12,3,0
Cedartown,9779,53,0,,2,21,30,920,211,689,20,0
Centerville,7644,19,0,,0,11,8,416,88,323,5,4
Chatsworth,4284,10,0,,0,1,9,162,27,127,8,
Chattahoochee Hills,2588,0,0,,0,0,0,39,15,14,10,
Chickamauga,3125,6,0,,0,0,6,68,12,52,4,
Clarkston,7790,67,0,,1,53,13,312,139,146,27,
Claxton,2643,8,1,,1,3,3,148,43,104,1,0
Clayton,2216,14,0,,0,0,14,97,28,64,5,
Cleveland,3739,14,0,,3,1,10,206,38,168,0,0
Climax,275,0,0,,0,0,0,0,0,0,0,0
Cochran,4782,14,0,,1,3,10,247,62,181,4,0
College Park,14871,324,4,,13,155,152,1664,402,993,269,5
Colquitt,1932,8,0,,0,2,6,69,19,49,1,0
Columbus,201165,1022,22,,36,481,483,12475,3355,8012,1108,37
Commerce,6476,24,0,,0,1,23,115,27,84,4,0
Conyers,15465,103,4,,7,34,58,1046,163,831,52,6
Coolidge,525,0,0,,0,0,0,4,3,1,0,0
Cordele,11358,87,0,,9,31,47,847,215,618,14,1
Cornelia,4170,6,0,,1,0,5,186,16,163,7,0
Covington,13416,47,1,,4,11,31,761,143,592,26,0
Cuthbert,3610,2,0,,0,2,0,55,19,36,0,0
Dalton,33475,66,0,,7,12,47,1319,201,1063,55,4
Danielsville,563,0,0,,0,0,0,22,1,19,2,0
Dawson,4352,30,0,,1,3,26,85,85,0,0,0
Decatur,20001,40,1,,0,28,11,690,127,528,35,0
Demorest,1987,0,0,,0,0,0,21,5,14,2,0
Dillard,340,0,0,,0,0,0,7,1,6,0,
Doerun,785,6,0,,1,1,4,43,18,25,0,0
Donalsonville,2822,7,0,,0,2,5,106,15,90,1,0
Doraville,8530,44,0,,2,20,22,407,75,301,31,
Douglas,11892,100,2,,15,26,57,883,95,763,25,0
Douglasville,31347,213,1,,12,46,154,1999,238,1651,110,11
Dublin,16217,85,2,,5,30,48,1186,235,915,36,0
Duluth,28350,42,1,,4,19,18,655,91,545,19,
Dunwoody,47531,57,1,,2,30,24,1838,249,1521,68,
East Ellijay,539,7,0,,0,1,6,87,3,84,0,0
Eastman,5295,56,0,,4,9,43,450,83,358,9,0
East Point,36172,420,12,,12,252,144,3905,938,2221,746,
Eatonton,6483,36,0,,1,3,32,217,43,170,4,
Edison,1470,0,0,,0,0,0,17,5,12,0,
Elberton,4476,59,0,,1,4,54,309,46,259,4,
Ellaville,1808,9,0,,2,0,7,17,4,13,0,0
Ellijay,1630,1,0,,0,0,1,22,7,14,1,
Emerson,1486,3,0,,0,0,3,58,9,45,4,0
Ephesus,420,0,0,,0,0,0,0,0,0,0,0
Eton,902,0,0,,0,0,0,18,2,16,0,0
Euharlee,4156,1,0,,0,0,1,127,13,106,8,0
Fairburn,13938,52,0,,5,23,24,509,114,343,52,3
Fairmount,727,1,0,,1,0,0,5,2,3,0,0
Fayetteville,16216,30,0,,0,20,10,513,66,422,25,0
Fitzgerald,9034,52,1,,6,13,32,500,189,295,16,
Flowery Branch,6117,1,0,,0,0,1,95,15,75,5,
Folkston,5646,9,0,,0,1,8,73,18,48,7,0
Forsyth,3960,16,0,,1,4,11,232,26,195,11,0
Fort Oglethorpe,9504,28,0,,0,2,26,695,58,618,19,0
Fort Valley,9688,104,1,,3,10,90,436,123,300,13,0
Franklin,974,4,0,,2,0,2,24,7,17,0,0
Franklin Springs,1025,0,0,,0,0,0,9,3,6,0,0
Gainesville,35111,115,1,,21,39,54,1505,209,1230,66,4
Garden City,8968,159,0,,0,37,122,424,156,237,31,
Glennville,5210,15,0,,0,3,12,138,30,107,1,
Glenwood,717,3,1,,0,2,0,4,0,2,2,0
Gordon,2044,0,0,,0,0,0,22,1,20,1,0
Gray,3244,3,0,,0,0,3,68,9,55,4,
Greensboro,3371,22,0,,1,1,20,162,26,132,4,0
Greenville,854,0,0,,0,0,0,28,10,15,3,0
Griffin,23313,186,3,,14,59,110,1882,373,1464,45,1
Grovetown,12525,4,0,,1,3,0,213,54,142,17,0
Hahira,2877,3,0,,0,0,3,46,8,28,10,
Hampton,7133,9,0,,0,3,6,113,29,79,5,0
Hapeville,6799,74,4,,0,40,30,532,60,384,88,
Harlem,2811,3,0,,1,0,2,38,7,28,3,
Harrison,476,0,0,,0,0,0,0,0,0,0,0
Hazlehurst,4279,7,1,,0,4,2,180,25,152,3,0
Helen,520,6,0,,0,0,6,62,9,51,2,0
Helena,3147,5,0,,0,3,2,29,7,21,1,
Hinesville,35311,120,3,,8,42,67,1444,351,1035,58,9
Hiram,3613,9,0,,0,3,6,452,19,425,8,0
Hoboken,533,1,0,,0,0,1,6,3,2,1,0
Holly Springs,9807,4,0,,1,0,3,98,24,63,11,0
Homeland,880,0,0,,0,0,0,0,0,0,0,0
Homerville,2413,20,0,,0,4,16,202,67,128,7,0
Jackson,4941,20,0,,1,3,16,95,36,51,8,0
Jefferson,9638,11,2,,2,1,6,149,20,121,8,0
Jeffersonville,962,0,0,,0,0,0,9,4,5,0,0
Jesup,10289,53,0,,1,19,33,826,117,694,15,0
Johns Creek,84093,37,4,,4,11,18,619,136,468,15,1
Jonesboro,4530,19,0,,0,9,10,225,65,146,14,0
Kennesaw,31289,34,0,,0,7,27,503,72,415,16,0
Kingsland,16393,84,0,,4,5,75,468,100,353,15,1
Lafayette,7062,16,0,,1,0,15,411,54,343,14,
Lagrange,30723,99,4,,5,43,47,1734,346,1308,80,6
Lakeland,3402,10,1,,2,1,6,73,25,38,10,0
Lake Park,755,2,0,,0,0,2,14,3,10,1,0
Lavonia,2121,20,0,,0,2,18,142,13,127,2,0
Lawrenceville,29821,65,0,,7,38,20,871,161,645,65,2
Lilburn,12455,39,1,,0,16,22,713,67,618,28,0
Lincolnton,1491,7,0,,0,2,5,42,4,37,1,
Locust Grove,5734,10,0,,0,4,6,333,37,286,10,0
Loganville,10699,16,0,,0,1,15,304,38,250,16,2
Lookout Mountain,1577,0,0,,0,0,0,19,5,13,1,
Lumber City,1266,4,0,,0,1,3,19,7,11,1,0
